Song-Name,Singer/Artists,Genre,Album/Movie,User-Rating
Aankh Marey,"Kumar Sanu, Mika Singh, Neha Kakkar",Bollywood Dance,Simmba,8.8
Coca Cola,"Neha Kakkar, Tony Kakkar",Bollywood Dance Romantic,Luka Chuppi,9.0
Apna Time Aayega,Ranveer Singh,Bollywood Dance,Gully Boy,9.7
Mungda,"Jyotica Tangri, Shaan, Subhro Ganguly",Bollywood Dance,Total Dhamaal,9.1
Tere Bin,"Asees Kaur, Rahat Fateh Ali Khan, Tanishk Bagchi",Bollywood Romantic,Simmba,9.2
Gali Gali,Neha Kakkar,Bollywood Dance,KGF,9.1
Chamma Chamma,"Arun, Ikka, Neha Kakkar, Romy",Bollywood Dance,Fraud Saiyaan,9.2
Mere Gully Mein,Ranveer Singh,Bollywood Dance,Gully Boy,9.5
Kamariya,Darshan Raval,Bollywood Dance,Mitron,9.2
Ek Ladki Ko Dekha Toh Aisa Laga,"Darshan Raval, Rochak Kohli",Bollywood Romantic,Ek Ladki Ko Dekha Toh Aisa Laga,9.6
Swag Se Swagat,"Neha Bhasin, Vishal Dadlani",Bollywood Dance,Tiger Zinda Hai,8.8
Poster Lagwa Do,"Mika Singh, Sunanda Sharma",Bollywood Dance,Luka Chuppi,8.4
Daaru Wargi,Guru Randhawa,Bollywood Dance,Cheat India,9.1
Dilbar,"Dhvani Bhanushali, Ikka, Neha Kakkar",Bollywood Dance,Satyameva Jayate,9.2
Proper Patola,"Aastha Gill, Badshah, Diljit Dosanjh",Bollywood Dance,Namaste England,9.0
Doori,Ranveer Singh,Bollywood Dance,Gully Boy,9.7
Dil Diyan Gallan,Atif Aslam,Bollywood Romantic,Tiger Zinda Hai,9.1
Husn Parcham,"Bhoomi Trivedi, Raja Kumari",Bollywood Dance,Zero,9.0
Bom Diggy Diggy,"Jasmin Walia, Zack Knight",Bollywood Dance,Sonu Ke Titu Ki Sweety,9.0
Issaqbaazi,"Divya Kumar, Sukhwinder Singh",Bollywood Dance,Zero,9.1
Mere Naam Tu,Abhay Jodhpurkar,Bollywood Romantic,Zero,9.2
High Rated Gabru – Nawabzaade,Guru Randhawa,Bollywood Dance,Nawabzaade,9.2
Dekhte Dekhte,Atif Aslam,Bollywood Romantic,Batti Gul Meter Chalu,9.5
Zingaat,"Ajay, Atul",Bollywood Dance,Dhadak,8.6
Tareefan,Badshah,Bollywood,Veere Di Wedding,9.1
Mile Ho Tum (Reprise),"Neha Kakkar, Tony Kakkar",Bollywood Romantic,Fever,9.0
Dil Chori,"Ishers, Simar Kaur, Yo Yo Honey Singh",Bollywood Dance,Sonu Ke Titu Ki Sweety,9.0
Tere Naal Nachna,"Badshah, Sunanda Sharma",Bollywood Dance,Nawabzaade,9.2
Dil Meri Na Sune,Atif Aslam,Bollywood Romantic,Genius,9.5
Dhadak Title Track,"Ajay Gogavale, Shreya Ghoshal",Bollywood Romantic,Dhadak,9.4
Heeriye,"Deep Money, Meet Bros, Neha Bhasin",Bollywood Dance Romantic,Race 3,8.7
Chogada,"Asees Kaur, Darshan Raval",Bollywood Dance,Loveratri,9.3
Gud Naal Ishq Mitha,"Harshdeep Kaur, Navraj Hans",Bollywood Dance,Ek Ladki Ko Dekha Toh Aisa Laga,9.3
Paniyon Sa,"Atif Aslam, Tulsi Kumar",Bollywood Romantic,Satyameva Jayate,9.5
Milegi Milegi,Mika Singh,Bollywood Dance,Stree,9.1
Morni Banke,"Guru Randhawa, Neha Kakkar",Bollywood Dance,Badhaai Ho,9.0
Bhare Bazaar,"B Praak, Badshah, Payal Dev, Vishal Dadlani",Bollywood Dance,Namaste England,9.0
Khalibali,Shivam Pathak,Bollywood Dance,Padmaavat,9.1
Aao Kabhi Haveli Pe,"Badshah, Jigar, Nikhita Gandhi, Sachin Sanghvi",Bollywood Dance,Stree,8.4
Badri Ki Dulhania,"Dev Negi, Ikka, Monali Thakur, Neha Kakkar",Bollywood Dance,Badrinath Ki Dulhania,8.4
Cheez Badi,"Neha Kakkar, Udit Narayan",Bollywood Dance,Machine,8.8
Dholida,"Neha Kakkar, Palak Muchchal, Raja Hassan, Udit Narayan",Bollywood Dance,Loveratri,9.2
Sweetheart,Dev Negi,Bollywood Dance,Kedarnath,9.2
Namo Namo,Amit Trivedi,Bollywood Devotional,Kedarnath,9.6
Qaafirana,"Arijit Singh, Nikhita Gandhi",Bollywood Romantic,Kedarnath,9.6
Tu Hi Re,"Armaan Malik, Shashaa Tirupati",Bollywood Dance,2,9.0
Chhote Chhote Peg,"Navraj Hans, Neha Kakkar, Yo Yo Honey Singh",Bollywood Dance,Sonu Ke Titu Ki Sweety,9.1
Galti Se Mistake,"Amit Mishra, Arijit Singh",Bollywood Dance,Jagga Jasoos,8.5
Phir Mulaaqat,Jubin Nautiyal,Bollywood Romantic,Cheat India,9.5
Kala Chashma,"Amar Arshi, Badshah, Neha Kakkar",Bollywood Dance,Baar Baar Dekho,8.5
Mantoiyat,Raftaar,Bollywood,Manto,9.7
Nashe Si Chadh Gayi,Arijit Singh,Bollywood Dance,Befikre,8.9
Mera Pyar Tera Pyar,Arijit Singh,Bollywood Romantic Sad,Jalebi,9.6
Ding Dang,"Amit Mishra, Antara Mitra",Bollywood Dance,Munna Michael,8.5
Main Tera Boyfriend,"Arijit Singh, Meet Bros, Neha Kakkar",Bollywood Dance,Raabta,9.1
Laila Main Laila,Pawni Pandey,Bollywood Dance,Raees,8.7
Ghoomar,"Shreya Ghoshal, Swaroop Khan",Bollywood Dance,Padmaavat,8.6
Rafta Rafta Medley,"Akash Ojha, Disha Sharma, Jordi Patel, Rekha, Sonakshi Sinha, Vishal Mishra",Bollywood Dance,Yamla Pagla Deewana Phir Se,9.3
Pal,"Arijit Singh, Shreya Ghoshal",Bollywood Romantic,Jalebi,9.7
Patola,Guru Randhawa,Bollywood Dance,Black Mail,8.9
Pallo Latke,"Fazilpuria, Jyotica Tangri, Yasser Desai",Bollywood Dance,Shaadi Mein Zaroor Aana,9.0
Main Badhiya Tu Bhi Badhiya,"Sonu Nigam, Sunidhi Chauhan",Bollywood,Sanju,9.0
Billionaire,"Simar Kaur, Singhsta, Yo Yo Honey Singh",Bollywood Dance,Baazaar,9.3
This Party Is Over Now,Yo Yo Honey Singh,Bollywood Dance,Mitron,9.3
Heer Badnaam,Romy,Bollywood Dance Sad,Zero,9.1
Tera Hua,Atif Aslam,Bollywood Romantic,Loveratri,9.0
Jaan Nisaar,Arijit Singh,Bollywood Romantic,Kedarnath,9.7
Akh Lad Jaaye,"Asees Kaur, Badshah, Jubin Nautiyal",Bollywood Dance Romantic,Loveratri,9.2
Rangtaari,"Dev Negi, Yo Yo Honey Singh",Bollywood Dance,Loveratri,9.1
The Humma Song,"Badshah, Jubin Nautiyal, Shashaa Tirupati",Bollywood Dance,Ok Jaanu,9.0
Pehli Baar,Ajay Gogavale,Bollywood Romantic,Dhadak,8.9
Tera Yaar Hoon Main,Arijit Singh,Bollywood Romantic Sad,Sonu Ke Titu Ki Sweety,9.5
Dilbaro,"Harshdeep Kaur, Shankar Mahadevan, Vibha Saraf",Bollywood,Raazi,9.5
Chhod Diya,Arijit Singh,Bollywood Sad,Baazaar,9.7
Maine Tujhko Dekha,"Neeraj Shridhar, Sukriti Kakar",Bollywood Dance,Golmaal Again,9.0
Allah Duhai Hai,"Amit Mishra, Jonita Gandhi, Sreerama Chandra",Bollywood Dance,Race 3,8.1
Cham Cham,Monali Thakur,Bollywood Dance,Baaghi,8.1
Kar Har Maidaan Fateh,"Shreya Ghoshal, Sukhwinder Singh",Bollywood Motivational,Sanju,9.5
Kamariya,"Aastha Gill, Divya Kumar, Jigar Saraiya, Sachin Sanghvi",Bollywood Dance,Stree,9.1
Tamma Tamma Again,"Anuradha Paudwal, Badshah, Bappi Lahiri",Bollywood Dance,Badrinath Ki Dulhania,8.6
Tera Fitoor,Arijit Singh,Bollywood Romantic,Genius,9.4
Mere Rashke Qamar,"Nusrat Fateh Ali Khan, Rahat Fateh Ali Khan",Bollywood Romantic,Baadshaho,9.0
The Breakup Song,"Arijit Singh, Badshah, Jonita Gandhi, Nakash Aziz",Bollywood Dance,Ae Dil Hai Mushkil,9.0
Naino Ne Bandhi,Yasser Desai,Bollywood Romantic,Gold,9.6
Sanu Ek Pal Chain,Rahat Fateh Ali Khan,Bollywood Romantic,Raid,9.3
Ban Ja Rani,Guru Randhawa,Bollywood Dance Romantic,Tumhari Sulu,9.0
Zaalima,"Arijit Singh, Harshdeep Kaur",Bollywood Dance Romantic,Raees,9.2
Baarish,"Ash King, Shashaa Tirupati",Bollywood Romantic,Half Girlfriend,9.3
Aashiq Banaya Aapne,"Himesh Reshammiya, Neha Kakkar",Bollywood Dance,Hate Story 4,9.1
